commodity,timestamp,open,high,low,close
XAU/USD,2025-10-16 09:15:00,4234.01,4238.61,4219.82,4237.0
XAU/USD,2025-10-16 09:30:00,4237.14,4242.49,4235.31,4242.49
XAU/USD,2025-10-16 09:45:00,4242.49,4247.41,4238.82,4242.18
XAU/USD,2025-10-16 10:00:00,4243.04,4244.11,4236.94,4238.55
XAU/USD,2025-10-16 10:15:00,4239.48,4243.31,4239.48,4243.31
XAU/USD,2025-10-16 10:30:00,4243.31,4245.18,4239.36,4242.27
XAU/USD,2025-10-16 10:45:00,4242.28,4243.53,4236.36,4238.42
XAU/USD,2025-10-16 11:00:00,4238.42,4242.51,4235.66,4242.33
XAU/USD,2025-10-16 11:15:00,4242.33,4260.28,4242.33,4260.28
XAU/USD,2025-10-16 11:30:00,4260.28,4266.31,4259.66,4262.32
XAU/USD,2025-10-16 11:45:00,4262.32,4274.0,4250.65,4250.65
XAU/USD,2025-10-16 12:00:00,4250.65,4262.82,4248.3,4260.02
XAU/USD,2025-10-16 12:15:00,4260.01,4266.04,4258.13,4264.21
XAU/USD,2025-10-16 12:30:00,4264.2,4267.35,4261.33,4266.61
XAU/USD,2025-10-16 12:45:00,4266.61,4266.61,4257.93,4258.94
XAU/USD,2025-10-16 13:00:00,4258.94,4260.4,4253.12,4256.5
XAU/USD,2025-10-16 13:15:00,4256.5,4263.61,4255.32,4257.62
XAU/USD,2025-10-16 13:30:00,4257.62,4260.09,4252.94,4259.2
XAU/USD,2025-10-16 13:45:00,4259.2,4264.32,4256.89,4262.3
XAU/USD,2025-10-16 14:00:00,4262.29,4265.41,4260.52,4262.01
XAU/USD,2025-10-16 14:15:00,4262.0,4264.2,4256.69,4258.9
XAU/USD,2025-10-16 14:30:00,4258.04,4258.36,4253.0,4255.43
XAU/USD,2025-10-16 14:45:00,4255.43,4264.14,4254.34,4261.56
XAU/USD,2025-10-16 15:00:00,4261.65,4261.65,4256.69,4258.89
XAU/USD,2025-10-16 15:15:00,4258.88,4262.4,4258.01,4260.28
XAU/USD,2025-10-16 15:30:00,4260.28,4261.54,4252.99,4253.78
XAU/USD,2025-10-16 15:45:00,4253.79,4256.17,4250.12,4253.98
XAU/USD,2025-10-16 16:00:00,4253.99,4255.25,4248.1,4248.68
XAU/USD,2025-10-16 16:15:00,4248.7,4251.95,4244.01,4245.16
XAU/USD,2025-10-16 16:30:00,4245.15,4245.15,4228.2,4234.09
XAU/USD,2025-10-16 16:45:00,4235.31,4235.31,4225.28,4226.56
XAU/USD,2025-10-16 17:00:00,4226.57,4243.32,4226.56,4240.6
XAU/USD,2025-10-16 17:15:00,4240.6,4245.9,4238.9,4240.05
XAU/USD,2025-10-16 17:30:00,4240.05,4242.5,4231.98,4233.34
XAU/USD,2025-10-16 17:45:00,4233.34,4237.93,4230.0,4237.92
XAU/USD,2025-10-16 18:00:00,4237.93,4248.5,4237.92,4247.3
XAU/USD,2025-10-16 18:15:00,4247.31,4250.55,4244.0,4250.48
XAU/USD,2025-10-16 18:30:00,4250.47,4250.47,4245.0,4248.07
