pair,timestamp,open,high,low,close,volume
USD/CHF,2025-10-14 04:45:00,0.80422997,0.80430001,0.80396998,0.80414999,
USD/CHF,2025-10-14 05:00:00,0.80414999,0.80419999,0.80383998,0.80385,
USD/CHF,2025-10-14 05:15:00,0.80386001,0.80394,0.80374998,0.80385,
USD/CHF,2025-10-14 05:30:00,0.80387002,0.80405003,0.80373001,0.80391997,
USD/CHF,2025-10-14 05:45:00,0.80391002,0.80427003,0.80385,0.80408001,
USD/CHF,2025-10-14 06:00:00,0.80405998,0.80409998,0.80388999,0.80396998,
USD/CHF,2025-10-14 06:15:00,0.80400997,0.80417001,0.80391002,0.80412,
USD/CHF,2025-10-14 06:30:00,0.80413997,0.80427998,0.80403,0.80412,
USD/CHF,2025-10-14 06:45:00,0.80413002,0.80431998,0.80413002,0.80423999,
USD/CHF,2025-10-14 07:00:00,0.80423999,0.80430001,0.80401999,0.80403,
USD/CHF,2025-10-14 07:15:00,0.80407,0.80419999,0.80401999,0.80416,
USD/CHF,2025-10-14 07:30:00,0.80417001,0.80431998,0.80413997,0.80417001,
USD/CHF,2025-10-14 07:45:00,0.80417001,0.80422997,0.8028,0.80391997,
USD/CHF,2025-10-14 08:00:00,0.80369997,0.80396998,0.80304998,0.80352998,
USD/CHF,2025-10-14 08:15:00,0.80352998,0.80397999,0.80308998,0.80330002,
USD/CHF,2025-10-14 08:30:00,0.80394,0.80394,0.80251002,0.80369997,
USD/CHF,2025-10-14 08:45:00,0.80379999,0.8039,0.80296999,0.80369997,
USD/CHF,2025-10-14 09:00:00,0.80351001,0.80396998,0.80308998,0.80387002,
USD/CHF,2025-10-14 09:15:00,0.80391002,0.80405003,0.80385,0.80403,
USD/CHF,2025-10-14 09:30:00,0.80404001,0.80430001,0.80400002,0.80426002,
USD/CHF,2025-10-14 09:45:00,0.80426002,0.80440003,0.80409998,0.80414999,
USD/CHF,2025-10-14 10:00:00,0.80421001,0.80449998,0.80409002,0.80435002,
USD/CHF,2025-10-14 10:15:00,0.80438,0.80440003,0.80422997,0.80436999,
USD/CHF,2025-10-14 10:30:00,0.80435002,0.80440003,0.80408001,0.80423999,
USD/CHF,2025-10-14 10:45:00,0.80425,0.80432999,0.80407,0.80431998,
USD/CHF,2025-10-14 11:00:00,0.80431998,0.80495,0.80419999,0.80464,
USD/CHF,2025-10-14 11:15:00,0.80467999,0.80500001,0.80456001,0.80488998,
USD/CHF,2025-10-14 11:30:00,0.80488002,0.80500001,0.80474001,0.80478001,
USD/CHF,2025-10-14 11:45:00,0.80476999,0.80487001,0.80435997,0.80454999,
USD/CHF,2025-10-14 12:00:00,0.80454999,0.8046,0.80414999,0.80425,
USD/CHF,2025-10-14 12:15:00,0.80425,0.80440998,0.80409002,0.80414999,
USD/CHF,2025-10-14 12:30:00,0.80417001,0.80430001,0.80407,0.80413002,
USD/CHF,2025-10-14 12:45:00,0.80409998,0.80431998,0.80407,0.80422997,
USD/CHF,2025-10-14 13:00:00,0.80422997,0.80435002,0.80409002,0.80432999,
USD/CHF,2025-10-14 13:15:00,0.80427998,0.80440003,0.80413002,0.80418003,
USD/CHF,2025-10-14 13:30:00,0.80418998,0.80430001,0.80413002,0.80422997,
USD/CHF,2025-10-14 13:45:00,0.80422997,0.80435997,0.80404001,0.80418998,
USD/CHF,2025-10-14 14:00:00,0.80418998,0.80427003,0.80407,0.80421001,
USD/CHF,2025-10-14 14:15:00,0.80418998,0.80421001,0.80408001,0.80413002,
USD/CHF,2025-10-14 14:30:00,0.80409998,0.80414999,0.80357999,0.80361003,
USD/CHF,2025-10-14 14:45:00,0.80361003,0.80362999,0.80346,0.80356997,
USD/CHF,2025-10-14 15:00:00,0.80357999,0.80360001,0.80290002,0.80296999,
USD/CHF,2025-10-14 15:15:00,0.80296999,0.80307001,0.80252999,0.80265999,
USD/CHF,2025-10-14 15:30:00,0.80267,0.80290997,0.80261999,0.80274999,
USD/CHF,2025-10-14 15:45:00,0.80273002,0.80277002,0.80233997,0.80255997,
USD/CHF,2025-10-14 16:00:00,0.80252999,0.80286002,0.80251998,0.80272001,
USD/CHF,2025-10-14 16:15:00,0.80276,0.80309999,0.80265999,0.80281001,
USD/CHF,2025-10-14 16:30:00,0.80278999,0.80286002,0.80242002,0.80243999,
USD/CHF,2025-10-14 17:00:00,0.80242002,0.80251998,0.80237001,0.80243999,
USD/CHF,2025-10-14 17:15:00,0.80243999,0.8028,0.80197001,0.80269998,
USD/CHF,2025-10-14 17:30:00,0.80269003,0.80362999,0.80269003,0.80328,
USD/CHF,2025-10-14 17:45:00,0.80325001,0.80339003,0.80294001,0.80303001,
USD/CHF,2025-10-14 18:00:00,0.80299997,0.80346,0.80230999,0.80330002,
USD/CHF,2025-10-14 18:15:00,0.80334002,0.80447,0.80330002,0.80432999,
USD/CHF,2025-10-14 18:30:00,0.80434,0.80462003,0.80385,0.80444998,
USD/CHF,2025-10-14 18:45:00,0.80449998,0.80452001,0.80379999,0.80422997,
USD/CHF,2025-10-14 19:00:00,0.80422997,0.80452001,0.80344999,0.80365002,
USD/CHF,2025-10-14 19:15:00,0.80365002,0.80375999,0.80340999,0.80353999,
USD/CHF,2025-10-14 19:30:00,0.80353999,0.80360001,0.80325001,0.80343997,
USD/CHF,2025-10-14 19:45:00,0.80348003,0.80366999,0.80316001,0.80326003,
USD/CHF,2025-10-14 20:00:00,0.80326003,0.80379999,0.80321002,0.80370998,
USD/CHF,2025-10-14 20:15:00,0.80370998,0.80399001,0.80351001,0.80370998,
USD/CHF,2025-10-14 20:30:00,0.80369997,0.8039,0.80356997,0.80378002,
USD/CHF,2025-10-14 20:45:00,0.80381,0.80422002,0.80369002,0.80421001,
USD/CHF,2025-10-14 21:00:00,0.80414999,0.80430001,0.80361003,0.80369997,
USD/CHF,2025-10-14 21:15:00,0.80372,0.80403,0.80366999,0.80374002,
USD/CHF,2025-10-14 21:30:00,0.80374002,0.80395001,0.80352002,0.80364001,
USD/CHF,2025-10-14 21:45:00,0.80361003,0.80409998,0.80356002,0.80396003,
USD/CHF,2025-10-14 22:00:00,0.80396998,0.80440003,0.80392998,0.80427003,
USD/CHF,2025-10-14 22:15:00,0.80425,0.80430001,0.80396003,0.80403,
USD/CHF,2025-10-14 22:30:00,0.80407,0.80457002,0.80401999,0.80436999,
USD/CHF,2025-10-14 22:45:00,0.80439001,0.80465001,0.80421001,0.80462998,
USD/CHF,2025-10-14 23:00:00,0.80462998,0.80478001,0.80413002,0.80429,
USD/CHF,2025-10-14 23:15:00,0.80429,0.80431998,0.80361998,0.80396003,
USD/CHF,2025-10-14 23:30:00,0.80396998,0.80466002,0.80387998,0.80435997,
USD/CHF,2025-10-14 23:45:00,0.80435997,0.80483001,0.80408001,0.80423999,
USD/CHF,2025-10-15 00:00:00,0.80421001,0.80449998,0.80370998,0.80375999,
USD/CHF,2025-10-15 00:15:00,0.80374002,0.8039,0.80286998,0.80326003,
USD/CHF,2025-10-15 00:30:00,0.80324,0.80348998,0.80247998,0.80271,
USD/CHF,2025-10-15 00:45:00,0.80271,0.80318999,0.80249,0.80315,
USD/CHF,2025-10-15 01:00:00,0.80311,0.80370998,0.80277002,0.80287999,
USD/CHF,2025-10-15 01:15:00,0.80286998,0.80312997,0.80255002,0.80290997,
USD/CHF,2025-10-15 01:30:00,0.80295998,0.80308998,0.80255002,0.80285001,
USD/CHF,2025-10-15 01:45:00,0.80285001,0.80291998,0.80171001,0.80185997,
USD/CHF,2025-10-15 02:00:00,0.80185997,0.80261999,0.80181003,0.80190003,
USD/CHF,2025-10-15 02:15:00,0.80190998,0.80255002,0.8017,0.80195999,
USD/CHF,2025-10-15 02:30:00,0.80195999,0.80211002,0.80151999,0.80195999,
USD/CHF,2025-10-15 02:45:00,0.80195999,0.8021,0.80102003,0.80111003,
USD/CHF,2025-10-15 03:00:00,0.80107999,0.80127001,0.80061001,0.80114001,
USD/CHF,2025-10-15 03:15:00,0.80111003,0.80138999,0.80043,0.80084002,
USD/CHF,2025-10-15 03:30:00,0.80089998,0.80129999,0.80023003,0.80024999,
USD/CHF,2025-10-15 03:45:00,0.80032003,0.80106002,0.80026001,0.80080003,
USD/CHF,2025-10-15 04:00:00,0.80080003,0.80084997,0.80053002,0.80070001,
USD/CHF,2025-10-15 04:15:00,0.80128002,0.80150002,0.801,0.80118001,
USD/CHF,2025-10-15 04:30:00,0.80119002,0.80123001,0.80078,0.80092001,
USD/CHF,2025-10-15 04:45:00,0.80093998,0.80102998,0.80061001,0.80081999,
USD/CHF,2025-10-15 05:00:00,0.80081999,0.801,0.80058002,0.80085999,
USD/CHF,2025-10-15 05:15:00,0.80089003,0.80115002,0.80083001,0.80105001,
USD/CHF,2025-10-15 05:30:00,0.80105001,0.80111003,0.80070001,0.80089003,
USD/CHF,2025-10-15 05:45:00,0.80089003,0.80122,0.80081999,0.80109,
USD/CHF,2025-10-15 06:00:00,0.80109,0.80114001,0.80079001,0.80093002,
USD/CHF,2025-10-15 06:15:00,0.80091,0.80110002,0.80084997,0.80102998,
USD/CHF,2025-10-15 06:30:00,0.80102998,0.80110002,0.80049998,0.80067998,
USD/CHF,2025-10-15 06:45:00,0.80067998,0.80101001,0.80063999,0.801,
USD/CHF,2025-10-15 07:00:00,0.80098999,0.80124003,0.80094999,0.80111003,
USD/CHF,2025-10-15 07:15:00,0.80110002,0.80141997,0.80102998,0.80133998,
USD/CHF,2025-10-15 07:30:00,0.80137002,0.80150002,0.80128002,0.80129999,
USD/CHF,2025-10-15 07:45:00,0.80132002,0.80137998,0.80028999,0.80062997,
USD/CHF,2025-10-15 08:00:00,0.80058998,0.80062002,0.79901999,0.79960001,
USD/CHF,2025-10-15 08:15:00,0.79979002,0.80070001,0.79933,0.80052,
USD/CHF,2025-10-15 08:30:00,0.79957998,0.80070001,0.79957998,0.80059999,
USD/CHF,2025-10-15 08:45:00,0.80050999,0.80070001,0.79973,0.80053002,
USD/CHF,2025-10-15 09:00:00,0.80044001,0.80119997,0.79984999,0.80109,
USD/CHF,2025-10-15 09:15:00,0.80109,0.80123001,0.80097002,0.80111998,
USD/CHF,2025-10-15 09:30:00,0.80111998,0.80116999,0.80091,0.80110002,
USD/CHF,2025-10-15 09:45:00,0.80111998,0.80119997,0.80094999,0.80111998,
USD/CHF,2025-10-15 10:00:00,0.80110002,0.80129999,0.80107999,0.80119002,
USD/CHF,2025-10-15 10:15:00,0.80124003,0.80129999,0.80111003,0.80124998,
USD/CHF,2025-10-15 10:30:00,0.80122,0.80132002,0.80115998,0.80118001,
USD/CHF,2025-10-15 10:45:00,0.80122,0.80159998,0.80116999,0.80144,
USD/CHF,2025-10-15 11:00:00,0.80144,0.80159003,0.80122,0.80124998,
USD/CHF,2025-10-15 11:15:00,0.80124998,0.80140001,0.80111998,0.80128998,
USD/CHF,2025-10-15 11:30:00,0.80128998,0.80142999,0.80109,0.80111998,
USD/CHF,2025-10-15 11:45:00,0.80111998,0.80119997,0.80088001,0.80109,
USD/CHF,2025-10-15 12:00:00,0.80109,0.80119997,0.80080998,0.80087,
USD/CHF,2025-10-15 12:15:00,0.80087,0.80094999,0.80032998,0.80034,
USD/CHF,2025-10-15 12:30:00,0.80035001,0.80070001,0.80031002,0.80063999,
USD/CHF,2025-10-15 12:45:00,0.80062002,0.80065,0.80040002,0.80048001,
USD/CHF,2025-10-15 13:00:00,0.80049002,0.80062997,0.80027997,0.80032003,
USD/CHF,2025-10-15 13:15:00,0.80031002,0.80050999,0.80017,0.80040002,
USD/CHF,2025-10-15 13:30:00,0.80040002,0.80052,0.80010998,0.80037999,
USD/CHF,2025-10-15 13:45:00,0.80036998,0.80040002,0.80001003,0.80018997,
USD/CHF,2025-10-15 14:00:00,0.80017,0.80024999,0.80001003,0.80014998,
USD/CHF,2025-10-15 14:15:00,0.80014002,0.80032998,0.80009001,0.80023998,
USD/CHF,2025-10-15 14:30:00,0.80027997,0.8003,0.80006999,0.80021,
USD/CHF,2025-10-15 14:45:00,0.80021,0.80024999,0.79992998,0.79992998,
USD/CHF,2025-10-15 15:00:00,0.79995,0.79996002,0.79979998,0.79992998,
USD/CHF,2025-10-15 15:15:00,0.7999,0.80024999,0.79983002,0.80021,
USD/CHF,2025-10-15 15:30:00,0.80018002,0.80027002,0.80001998,0.80005997,
USD/CHF,2025-10-15 15:45:00,0.80005002,0.80010003,0.79991001,0.80001998,
USD/CHF,2025-10-15 16:00:00,0.80004001,0.80019999,0.79984999,0.79992998,
USD/CHF,2025-10-15 16:15:00,0.79988998,0.79993999,0.79960001,0.79964,
USD/CHF,2025-10-15 16:30:00,0.79969001,0.79970002,0.79945999,0.79964,
USD/CHF,2025-10-15 16:45:00,0.79964,0.80019999,0.79957002,0.80010998,
USD/CHF,2025-10-15 17:00:00,0.80009001,0.80018002,0.79936999,0.79940999,
USD/CHF,2025-10-15 17:15:00,0.79940999,0.79983002,0.79914999,0.79977,
USD/CHF,2025-10-15 17:30:00,0.79974997,0.79983002,0.79935998,0.79936999,
USD/CHF,2025-10-15 17:45:00,0.79936999,0.79973,0.79905999,0.79956001,
USD/CHF,2025-10-15 18:00:00,0.79953998,0.79975998,0.79912001,0.79936999,
USD/CHF,2025-10-15 18:15:00,0.79939002,0.80001998,0.79936999,0.79979002,
USD/CHF,2025-10-15 18:30:00,0.79983002,0.79995,0.79930001,0.79940999,
USD/CHF,2025-10-15 18:45:00,0.79943001,0.79961002,0.79905999,0.79960001,
USD/CHF,2025-10-15 19:00:00,0.79957002,0.79974997,0.79927999,0.79969001,
USD/CHF,2025-10-15 19:15:00,0.79969001,0.79982001,0.79945999,0.79969001,
USD/CHF,2025-10-15 19:30:00,0.79970002,0.79984999,0.79939997,0.79945999,
USD/CHF,2025-10-15 19:45:00,0.79945999,0.79986,0.79900998,0.79975998,
USD/CHF,2025-10-15 20:00:00,0.79978001,0.8003,0.79970998,0.80019999,
