crypto,timestamp,open,high,low,close
BTC/USD,2025-10-13 19:45:00,115798.42,115995.74,115690.69,115899.11
BTC/USD,2025-10-13 20:00:00,115899.12,115994.0,115645.32,115747.32
BTC/USD,2025-10-13 20:15:00,115752.2,115804.56,115578.54,115586.23
BTC/USD,2025-10-13 20:30:00,115585.96,115676.8,115500.0,115574.41
BTC/USD,2025-10-13 20:45:00,115574.42,115852.92,115563.3,115816.0
BTC/USD,2025-10-13 21:00:00,115815.99,115895.99,115648.0,115735.31
BTC/USD,2025-10-13 21:15:00,115735.32,115897.33,115656.67,115740.63
BTC/USD,2025-10-13 21:30:00,115740.62,115800.39,115691.47,115728.27
BTC/USD,2025-10-13 21:45:00,115728.27,115817.16,115691.0,115811.89
BTC/USD,2025-10-13 22:00:00,115811.89,115945.0,115778.0,115850.49
BTC/USD,2025-10-13 22:15:00,115850.49,115894.1,115688.32,115688.33
BTC/USD,2025-10-13 22:30:00,115688.32,115710.22,115536.01,115661.99
BTC/USD,2025-10-13 22:45:00,115661.98,115693.0,115565.68,115613.03
BTC/USD,2025-10-13 23:00:00,115607.97,115609.15,115407.18,115454.01
BTC/USD,2025-10-13 23:15:00,115454.01,115543.26,115418.5,115496.0
BTC/USD,2025-10-13 23:30:00,115493.77,115531.92,115174.81,115284.2
BTC/USD,2025-10-13 23:45:00,115282.74,115316.18,115087.66,115274.03
BTC/USD,2025-10-14 00:00:00,115274.03,115337.99,115150.01,115327.88
BTC/USD,2025-10-14 00:15:00,115327.88,115488.54,115239.11,115312.86
BTC/USD,2025-10-14 00:30:00,115312.86,115514.91,115191.72,115269.98
BTC/USD,2025-10-14 00:45:00,115269.97,115269.97,114970.59,115057.99
BTC/USD,2025-10-14 01:00:00,115057.99,115102.0,114637.58,114782.01
BTC/USD,2025-10-14 01:15:00,114782.01,114877.49,114547.03,114660.39
BTC/USD,2025-10-14 01:30:00,114660.38,114693.27,114539.61,114599.73
BTC/USD,2025-10-14 01:45:00,114599.74,114607.7,114211.21,114356.52
BTC/USD,2025-10-14 02:00:00,114356.51,114388.96,114154.18,114177.93
BTC/USD,2025-10-14 02:15:00,114177.93,114236.49,113950.3,114100.52
BTC/USD,2025-10-14 02:30:00,114100.49,114199.59,113870.98,113949.99
