symbol,timestamp,open,high,low,close,volume
DIA,2025-10-10 16:00:00,454.93,455.63,454.4,455.5,464460.0
DIA,2025-10-10 16:15:00,455.4,455.5,454.8156,455.5,8716.0
DIA,2025-10-10 16:30:00,455.45,455.47,455.2,455.2,1943.0
DIA,2025-10-10 16:45:00,455.11,455.24,451.72,452.74,25345.0
DIA,2025-10-10 17:00:00,452.88,454.87,451.32,452.0267,47542.0
DIA,2025-10-10 17:15:00,451.32,453.16,451.32,453.16,1517.0
DIA,2025-10-10 17:30:00,452.8,453.1599,451.8,452.15,2154.0
DIA,2025-10-10 17:45:00,452.295,452.54,451.0,451.3,2664.0
DIA,2025-10-10 18:00:00,451.0,453.0,450.0,452.0,2865.0
DIA,2025-10-10 18:15:00,452.03,453.0,451.21,452.69,1279.0
DIA,2025-10-10 18:30:00,454.87,454.87,451.0,451.0,150924.0
DIA,2025-10-10 18:45:00,451.71,452.01,451.0,451.92,508.0
DIA,2025-10-10 19:00:00,451.76,452.7,451.0,452.12,194.0
DIA,2025-10-10 19:15:00,452.12,452.8,452.0,452.7,162.0
DIA,2025-10-10 19:30:00,452.8,453.95,452.34,453.69,582.0
DIA,2025-10-10 19:45:00,454.0,454.33,453.45,453.45,281.0
DIA,2025-10-10 20:00:00,454.87,454.87,454.87,454.87,148042.0
DIA,2025-10-13 04:00:00,456.48,460.39,456.48,459.69,5852.0
DIA,2025-10-13 04:15:00,459.65,459.8,459.38,459.49,1693.0
DIA,2025-10-13 04:30:00,459.6,459.77,459.26,459.26,1548.0
DIA,2025-10-13 04:45:00,459.36,459.38,459.31,459.38,323.0
DIA,2025-10-13 05:00:00,459.41,459.57,459.33,459.33,232.0
DIA,2025-10-13 05:15:00,459.4,459.6,459.32,459.33,1799.0
DIA,2025-10-13 05:30:00,459.22,459.3,459.15,459.23,489.0
DIA,2025-10-13 05:45:00,459.3,459.44,459.24,459.3,6444.0
DIA,2025-10-13 06:00:00,459.26,459.35,459.21,459.35,3329.0
DIA,2025-10-13 06:15:00,459.31,459.31,459.0,459.13,838.0
DIA,2025-10-13 06:30:00,459.35,459.46,459.0,459.0,642.0
DIA,2025-10-13 06:45:00,459.04,459.1,458.89,459.05,1330.0
DIA,2025-10-13 07:00:00,459.16,459.7,457.84,458.44,16237.0
DIA,2025-10-13 07:15:00,458.36,458.5,458.29,458.31,1580.0
DIA,2025-10-13 07:30:00,458.4,458.62,458.27,458.61,2948.0
DIA,2025-10-13 07:45:00,458.62,458.71,458.34,458.41,1321.0
DIA,2025-10-13 08:00:00,458.36,460.34,454.8134,458.2,69106.0
DIA,2025-10-13 08:15:00,458.37,458.55,454.87,458.4,1180.0
DIA,2025-10-13 08:30:00,458.49,458.84,458.46,458.84,1332.0
DIA,2025-10-13 08:45:00,458.83,459.05,458.75,458.89,2212.0
DIA,2025-10-13 09:00:00,458.84,458.98,458.27,458.98,10703.0
DIA,2025-10-13 09:15:00,458.855,458.96,458.1,458.23,6297.0
DIA,2025-10-13 09:30:00,458.23,459.95,458.06,459.01,728542.0
DIA,2025-10-13 09:45:00,459.0,460.06,458.45,460.01,401937.0
DIA,2025-10-13 10:00:00,459.95,460.29,459.15,459.4,362894.0
DIA,2025-10-13 10:15:00,459.48,459.94,458.36,458.81,250476.0
DIA,2025-10-13 10:30:00,458.83,459.98,458.34,459.66,203520.0
DIA,2025-10-13 10:45:00,459.62,459.83,458.84,458.98,284743.0
DIA,2025-10-13 11:00:00,459.01,459.8913,458.66,459.82,213584.0
DIA,2025-10-13 11:15:00,459.83,460.79,459.74,460.79,284731.0
DIA,2025-10-13 11:30:00,460.79,461.21,460.46,460.525,203574.0
DIA,2025-10-13 11:45:00,460.51,460.89,460.41,460.55,147710.0
DIA,2025-10-13 12:00:00,460.6,460.91,460.42,460.85,136041.0
DIA,2025-10-13 12:15:00,460.89,461.21,460.36,460.79,304313.0
DIA,2025-10-13 12:30:00,460.79,461.14,460.7,460.83,85100.0
DIA,2025-10-13 12:45:00,460.81,461.35,460.57,461.3,246905.0
DIA,2025-10-13 13:00:00,461.31,461.56,460.71,460.75,132603.0
DIA,2025-10-13 13:15:00,460.79,460.915,460.38,460.42,98927.0
DIA,2025-10-13 13:30:00,460.43,460.63,460.18,460.2195,65941.0
DIA,2025-10-13 13:45:00,460.23,460.53,459.91,460.52,70696.0
DIA,2025-10-13 14:00:00,460.56,461.11,460.49,460.92,70575.0
DIA,2025-10-13 14:15:00,460.91,461.27,460.9,461.14,141474.0
DIA,2025-10-13 14:30:00,461.14,461.37,460.45,460.65,132880.0
DIA,2025-10-13 14:45:00,460.65,460.67,459.72,459.8,113392.0
DIA,2025-10-13 15:00:00,459.82,460.3099,459.63,459.92,165681.0
DIA,2025-10-13 15:15:00,459.9,460.68,459.85,460.54,198290.0
DIA,2025-10-13 15:30:00,460.53,461.06,460.49,460.99,179618.0
DIA,2025-10-13 15:45:00,460.99,461.19,460.66,460.7,631093.0
DIA,2025-10-13 16:00:00,460.7,460.85,460.5,460.61,204231.0
DIA,2025-10-13 16:15:00,460.64,460.68,460.51,460.58,1905.0
DIA,2025-10-13 16:30:00,460.54,460.65,460.49,460.56,2531.0
DIA,2025-10-13 16:45:00,460.615,460.69,460.47,460.67,3019.0
DIA,2025-10-13 17:00:00,460.73,461.24,460.68,460.87,192859.0
DIA,2025-10-13 17:15:00,460.56,461.2,460.53,460.76,313.0
DIA,2025-10-13 17:30:00,460.96,460.96,460.5,460.83,8.0
DIA,2025-10-13 17:45:00,461.0,461.25,460.5257,460.53,176.0
DIA,2025-10-13 18:00:00,460.83,461.13,460.83,460.94,45.0
DIA,2025-10-13 18:15:00,461.08,461.2,460.91,460.91,46.0
DIA,2025-10-13 18:30:00,460.68,461.0585,460.68,460.93,63153.0
DIA,2025-10-13 18:45:00,460.99,461.1,460.99,461.095,62.0
DIA,2025-10-13 19:00:00,460.99,461.0,460.89,460.9,54.0
DIA,2025-10-13 19:15:00,460.8499,461.04,460.8,461.04,145.0
DIA,2025-10-13 19:30:00,460.8449,460.86,460.68,460.68,56.0
DIA,2025-10-13 19:45:00,460.76,460.919,460.73,460.9187,733.0
DIA,2025-10-13 20:00:00,460.68,460.68,460.68,460.68,63139.0
DIA,2025-10-14 09:30:00,457.015,457.34,454.8,454.96,89168.0
DIA,2025-10-14 09:45:00,455.03,457.13,454.6,457.13,82994.0
DIA,2025-10-14 10:00:00,457.1,458.31,456.83,458.27,60646.0
DIA,2025-10-14 10:15:00,458.3,459.35,458.03,459.22,55930.0
DIA,2025-10-14 10:30:00,459.18,460.07,458.94,459.78,46242.0
DIA,2025-10-14 10:45:00,459.81,460.37,459.74,460.29,52148.0
DIA,2025-10-14 11:00:00,460.31,460.75,459.87,459.99,65206.0
DIA,2025-10-14 11:15:00,459.97,460.72,459.93,460.02,33572.0
DIA,2025-10-14 11:30:00,460.2,461.29,460.16,461.18,64110.0
DIA,2025-10-14 11:45:00,461.17,462.72,461.17,462.44,29898.0
DIA,2025-10-14 12:00:00,462.49,462.49,461.77,462.21,60482.0
DIA,2025-10-14 12:15:00,462.2,463.33,462.14,462.97,69444.0
DIA,2025-10-14 12:30:00,462.98,463.7,462.79,463.63,49008.0
DIA,2025-10-14 12:45:00,463.69,464.37,463.67,463.67,34580.0
DIA,2025-10-14 13:00:00,463.64,464.14,463.1,464.03,35294.0
DIA,2025-10-14 13:15:00,464.1,464.11,464.06,464.1,704.0
DIA,2025-10-14 13:30:00,464.55,464.55,464.5,464.51,3746.0
EWJ,2025-10-08 15:15:00,81.635,81.695,81.62,81.685,119646.0
EWJ,2025-10-08 15:30:00,81.68,81.71,81.66,81.665,119968.0
EWJ,2025-10-08 15:45:00,81.66,81.765,81.66,81.74,330714.0
EWJ,2025-10-09 09:30:00,82.16,82.17,81.94,81.95,280039.0
EWJ,2025-10-09 09:45:00,81.94,81.975,81.85,81.87,166114.0
EWJ,2025-10-09 10:00:00,81.86,81.9,81.8,81.855,167403.0
EWJ,2025-10-09 10:15:00,81.85,81.8618,81.71,81.71,177172.0
EWJ,2025-10-09 10:30:00,81.7,81.7,81.59,81.605,1013041.0
EWJ,2025-10-09 10:45:00,81.5985,81.72,81.58,81.6952,100842.0
EWJ,2025-10-09 11:00:00,81.695,81.725,81.64,81.7,86240.0
EWJ,2025-10-09 11:15:00,81.7,81.75,81.59,81.59,114441.0
EWJ,2025-10-09 11:30:00,81.585,81.63,81.525,81.575,138525.0
EWJ,2025-10-09 11:45:00,81.61,81.8001,81.575,81.8,101904.0
EWJ,2025-10-09 12:00:00,81.79,81.82,81.6976,81.7,58359.0
EWJ,2025-10-09 12:15:00,81.695,81.7201,81.625,81.6659,155088.0
EWJ,2025-10-09 12:30:00,81.655,81.67,81.54,81.61,61129.0
EWJ,2025-10-09 12:45:00,81.61,81.6654,81.525,81.54,1917963.0
EWJ,2025-10-09 13:00:00,81.54,81.59,81.455,81.495,132879.0
EWJ,2025-10-09 13:15:00,81.49,81.55,81.49,81.5201,166448.0
EWJ,2025-10-09 13:30:00,81.52,81.57,81.49,81.505,454853.0
EWJ,2025-10-09 13:45:00,81.5,81.54,81.43,81.54,453971.0
EWJ,2025-10-09 14:00:00,81.54,81.54,81.43,81.48,83747.0
EWJ,2025-10-09 14:15:00,81.475,81.56,81.46,81.46,109269.0
EWJ,2025-10-09 14:30:00,81.46,81.48,81.42,81.48,152120.0
EWJ,2025-10-09 14:45:00,81.48,81.4808,81.4185,81.47,99779.0
EWJ,2025-10-09 15:00:00,81.47,81.56,81.47,81.53,133493.0
