bond,timestamp,yield
US2Y,2025-10-09 15:15:00,3.5948
US2Y,2025-10-09 15:30:00,3.5927
US2Y,2025-10-09 15:45:00,3.5968
US2Y,2025-10-10 09:30:00,3.5784
US2Y,2025-10-10 09:45:00,3.5743
US2Y,2025-10-10 10:00:00,3.5784
US2Y,2025-10-10 10:15:00,3.5764
US2Y,2025-10-10 10:30:00,3.5826
US2Y,2025-10-10 10:45:00,3.568
US2Y,2025-10-10 11:00:00,3.541
US2Y,2025-10-10 11:15:00,3.5182
US2Y,2025-10-10 11:30:00,3.5244
US2Y,2025-10-10 11:45:00,3.5389
US2Y,2025-10-10 12:00:00,3.5327
US2Y,2025-10-10 12:15:00,3.5451
US2Y,2025-10-10 12:30:00,3.5389
US2Y,2025-10-10 12:45:00,3.5285
US2Y,2025-10-10 13:00:00,3.5223
US2Y,2025-10-10 13:15:00,3.5244
US2Y,2025-10-10 13:30:00,3.5244
US2Y,2025-10-10 13:45:00,3.5202
US2Y,2025-10-10 14:00:00,3.5182
US2Y,2025-10-10 14:15:00,3.5182
US2Y,2025-10-10 14:30:00,3.514
US2Y,2025-10-10 14:45:00,3.5223
US2Y,2025-10-10 15:00:00,3.5265
US2Y,2025-10-10 15:15:00,3.5202
US2Y,2025-10-10 15:30:00,3.5223
US2Y,2025-10-10 15:45:00,3.5244
US2Y,2025-10-14 09:30:00,3.4952
US2Y,2025-10-14 09:45:00,3.4973
US2Y,2025-10-14 10:00:00,3.4932
US2Y,2025-10-14 10:15:00,3.5056
US2Y,2025-10-14 10:30:00,3.5015
US2Y,2025-10-14 10:45:00,3.4994
US2Y,2025-10-14 11:00:00,3.5056
US2Y,2025-10-14 11:15:00,3.5035
US2Y,2025-10-14 11:30:00,3.5015
US2Y,2025-10-14 11:45:00,3.5015
US2Y,2025-10-14 12:00:00,3.4973
US2Y,2025-10-14 12:15:00,3.4932
US2Y,2025-10-14 12:30:00,3.489
US2Y,2025-10-14 12:45:00,3.4827
US2Y,2025-10-14 13:00:00,3.4849
US2Y,2025-10-14 13:15:00,3.4849
US2Y,2025-10-14 13:30:00,3.4849
