symbol,timestamp,open,high,low,close,volume
DIA,2025-10-13 14:15:00,460.91,461.27,460.9,461.14,141474.0
DIA,2025-10-13 14:30:00,461.14,461.37,460.45,460.65,132880.0
DIA,2025-10-13 14:45:00,460.65,460.67,459.72,459.8,113392.0
DIA,2025-10-13 15:00:00,459.82,460.3099,459.63,459.92,165681.0
DIA,2025-10-13 15:15:00,459.9,460.68,459.85,460.54,198290.0
DIA,2025-10-13 15:30:00,460.53,461.06,460.49,460.99,179618.0
DIA,2025-10-13 15:45:00,460.99,461.19,460.66,460.7,631093.0
DIA,2025-10-13 16:00:00,460.7,460.85,460.5,460.61,204231.0
DIA,2025-10-13 16:15:00,460.64,460.68,460.51,460.58,1905.0
DIA,2025-10-13 16:30:00,460.54,460.65,460.49,460.56,2531.0
DIA,2025-10-13 16:45:00,460.615,460.69,460.47,460.67,3019.0
DIA,2025-10-13 17:00:00,460.73,461.24,460.68,460.87,192859.0
DIA,2025-10-13 17:15:00,460.56,461.2,460.53,460.76,313.0
DIA,2025-10-13 17:30:00,460.96,460.96,460.5,460.83,8.0
DIA,2025-10-13 17:45:00,461.0,461.25,460.5257,460.53,176.0
DIA,2025-10-13 18:00:00,460.83,461.13,460.83,460.94,45.0
DIA,2025-10-13 18:15:00,461.08,461.2,460.91,460.91,46.0
DIA,2025-10-13 18:30:00,460.68,461.0585,460.68,460.93,63153.0
DIA,2025-10-13 18:45:00,460.99,461.1,460.99,461.095,62.0
DIA,2025-10-13 19:00:00,460.99,461.0,460.89,460.9,54.0
DIA,2025-10-13 19:15:00,460.8499,461.04,460.8,461.04,145.0
DIA,2025-10-13 19:30:00,460.8449,460.86,460.68,460.68,56.0
DIA,2025-10-13 19:45:00,460.76,460.919,460.73,460.9187,733.0
DIA,2025-10-13 20:00:00,460.68,460.68,460.68,460.68,63139.0
EWJ,2025-10-10 10:30:00,79.71,79.76,79.625,79.68,233175.0
EWJ,2025-10-10 10:45:00,79.685,79.785,79.45,79.47,691623.0
EWJ,2025-10-10 11:00:00,79.47,79.47,79.15,79.38,805174.0
EWJ,2025-10-10 11:15:00,79.37,79.435,78.95,79.055,622987.0
EWJ,2025-10-10 11:30:00,79.05,79.125,78.81,79.125,846232.0
EWJ,2025-10-10 11:45:00,79.12,79.255,78.925,79.06,534730.0
EWJ,2025-10-10 12:00:00,79.06,79.06,78.9,79.05,384051.0
EWJ,2025-10-10 12:15:00,79.04,79.065,78.84,78.895,383221.0
EWJ,2025-10-10 12:30:00,78.895,78.99,78.821,78.85,326135.0
EWJ,2025-10-10 12:45:00,78.85,78.89,78.655,78.67,392642.0
